start_node,edge_type,end_node
Q100258094,P569,+1959-00-00T00:00:00Z
Q100258094,P570,+2022-07-03T00:00:00Z
Q15993464,P570,+2013-04-24T00:00:00Z
Q15993464,P569,+1938-00-00T00:00:00Z
Q5951773,P569,+1970-08-17T00:00:00Z
Q536928,P569,+1834-10-27T00:00:00Z
Q536928,P570,+1917-03-19T00:00:00Z
Q395714,P569,+1629-08-10T00:00:00Z
Q395714,P570,+1700-05-31T00:00:00Z
Q6084301,P569,+1888-00-00T00:00:00Z
Q6084301,P570,+1943-09-22T00:00:00Z
Q454099,P569,+1807-03-07T00:00:00Z
Q454099,P570,+1876-05-07T00:00:00Z
Q37327,P569,+1906-04-13T00:00:00Z
Q37327,P570,+1989-12-22T00:00:00Z
Q836027,P569,+1629-01-01T00:00:00Z
Q836027,P570,+1683-01-01T00:00:00Z
Q6391156,P569,+1790-11-01T00:00:00Z
Q6391156,P570,+1874-08-01T00:00:00Z
Q19788556,P569,+1966-01-01T00:00:00Z
Q11923682,P569,+1878-08-07T00:00:00Z
Q11923682,P570,+1945-03-31T00:00:00Z
Q707787,P570,+1653-05-26T00:00:00Z
Q707787,P569,+1588-01-01T00:00:00Z
Q95367755,P569,+1957-07-20T00:00:00Z
Q62095948,P569,+1913-00-00T00:00:00Z
Q62095948,P570,+1976-00-00T00:00:00Z
Q94824276,P569,+1884-03-25T00:00:00Z
Q94824276,P570,+1931-09-26T00:00:00Z
Q87444,P569,+1813-11-28T00:00:00Z
Q87444,P570,+1889-02-21T00:00:00Z
Q1743912,P569,+1972-01-01T00:00:00Z
Q482193,P569,+1818-01-26T00:00:00Z
Q482193,P570,+1879-09-06T00:00:00Z
Q11684636,P569,+1972-00-00T00:00:00Z
Q97151,P569,+1762-10-18T00:00:00Z
Q97151,P570,+1832-03-28T00:00:00Z
Q1512329,P569,+1942-08-14T00:00:00Z
Q48852107,P570,+1977-07-14T00:00:00Z
Q48852107,P569,+1914-07-01T00:00:00Z
Q114333,P569,+1937-06-04T00:00:00Z
Q112470231,P570,+2011-00-00T00:00:00Z
Q112470231,P569,+1939-00-00T00:00:00Z
Q60718124,P569,+1889-11-02T00:00:00Z
Q60718124,P570,+1975-02-05T00:00:00Z
Q2860081,P570,+1672-03-01T00:00:00Z
Q2860081,P569,+1650-00-00T00:00:00Z
Q944538,P569,+1818-02-19T00:00:00Z
Q944538,P570,+1881-03-20T00:00:00Z
Q104033780,P569,+1887-06-27T00:00:00Z
Q104033780,P570,+1964-01-10T00:00:00Z
Q1037615,P569,+1779-12-08T00:00:00Z
Q1037615,P570,+1860-08-23T00:00:00Z
Q105073135,P569,+1678-09-08T00:00:00Z
Q105073135,P570,+1747-11-22T00:00:00Z
Q6289203,P569,+1967-08-09T00:00:00Z
Q6512,P569,+1813-05-05T00:00:00Z
Q6512,P570,+1855-11-11T00:00:00Z
Q93415834,P569,+1752-00-00T00:00:00Z
Q93415834,P570,+1808-00-00T00:00:00Z
Q94889059,P569,+1898-00-00T00:00:00Z
Q94889059,P570,+1907-00-00T00:00:00Z
Q4096619,P569,+1886-01-01T00:00:00Z
Q4096619,P570,+1952-01-01T00:00:00Z
Q3101971,P569,+1724-02-28T00:00:00Z
Q3101971,P570,+1807-09-14T00:00:00Z
Q8177249,P569,+1910-09-17T00:00:00Z
Q8177249,P570,+1985-01-27T00:00:00Z
Q80842957,P569,+1948-01-18T00:00:00Z
Q509416,P569,+1292-01-01T00:00:00Z
Q509416,P570,+1361-01-01T00:00:00Z
Q168004,P569,+1743-01-25T00:00:00Z
Q168004,P570,+1819-03-10T00:00:00Z
Q23060694,P569,+1962-11-17T00:00:00Z
Q23060694,P570,+2019-06-07T00:00:00Z
Q90670270,P570,+2022-01-10T00:00:00Z
Q90670270,P569,+1950-00-00T00:00:00Z
Q192348,P570,+1952-11-20T00:00:00Z
Q192348,P569,+1866-02-25T00:00:00Z
Q15452823,P569,+1884-06-00T00:00:00Z
Q15452823,P570,+1977-01-01T00:00:00Z
Q1075165,P569,+1930-04-04T00:00:00Z
Q1075165,P570,+2004-07-08T00:00:00Z
Q312579,P569,+1954-02-16T00:00:00Z
Q312579,P570,+2013-06-09T00:00:00Z
Q5943830,P569,+1951-03-01T00:00:00Z
Q1699831,P569,+1942-07-30T00:00:00Z
Q93503,P569,+1879-07-09T00:00:00Z
Q93503,P570,+1960-01-02T00:00:00Z
Q5904457,P569,+1930-06-18T00:00:00Z
Q5904457,P570,+2001-06-17T00:00:00Z
Q15973558,P569,+1951-11-16T00:00:00Z
Q896210,P569,+1868-06-16T00:00:00Z
Q896210,P570,+1909-05-11T00:00:00Z
Q97143398,P570,+1855-01-01T00:00:00Z
Q21535472,P569,+1865-06-30T00:00:00Z
Q21535472,P570,+1933-01-01T00:00:00Z
Q61044,P569,+1316-00-00T00:00:00Z
