start_node,edge_type,end_node
Q84233,influenced,Q132524
Q9235,influenced,Q5749
Q57497,taught,Q58586
Q9047,influenced,Q310791
Q190089,influenced,Q60025
Q183167,influenced,Q60025
Q35802,influenced,Q184226
Q39837,influenced,Q35802
Q151403,influenced,Q131149
Q188883,taught,Q170472
Q370389,influenced,Q130631
Q43216,influenced,Q192315
Q183372,taught,Q214969
Q859,influenced,Q35802
Q134189,influenced,Q34670
Q9441,influenced,Q1001
Q913,influenced,Q81244
Q9353,influenced,Q310791
Q579194,taught,Q55597400
Q131805,influenced,Q215258
Q9381,influenced,Q168004
Q667385,taught,Q6197
Q48301,taught,Q60030
Q43689,influenced,Q8018
Q37160,influenced,Q9312
Q84233,influenced,Q76688
Q189506,influenced,Q43216
Q214969,influenced,Q242616
Q189506,influenced,Q665984
Q57112,influenced,Q9358
Q44272,influenced,Q219368
Q4322534,taught,Q1282198
Q36330,influenced,Q60070
Q1001,influenced,Q937
Q313666,influenced,Q83003
Q48301,influenced,Q212639
Q60070,influenced,Q9235
Q184226,influenced,Q463151
Q169243,taught,Q535769
Q77148,influenced,Q60025
Q131671,taught,Q125551
Q184169,influenced,Q44272
Q868,influenced,Q132524
Q11903,influenced,Q9047
Q868,influenced,Q131149
Q35802,influenced,Q5879
Q9061,influenced,Q731904
Q868,influenced,Q1173486
Q131805,taught,Q231690
Q868,influenced,Q937697
Q868,influenced,Q60025
Q8011,influenced,Q35802
Q184530,taught,Q2287807
Q4604,influenced,Q9047
Q38193,influenced,Q9391
Q859,influenced,Q9312
Q868,influenced,Q37621
Q868,influenced,Q11903
Q9358,influenced,Q7060
Q76849,influenced,Q160640
Q8018,influenced,Q9554
Q7243,influenced,Q314189
Q37160,influenced,Q1035
Q9438,influenced,Q9047
Q4245051,influenced,Q550629
Q1541,influenced,Q9068
Q9438,influenced,Q78484
Q311160,taught,Q672145
Q6527,influenced,Q9312
Q76326,influenced,Q2318969
Q6527,influenced,Q130631
Q8011,influenced,Q35900
Q9061,influenced,Q160640
Q184169,influenced,Q184226
Q221697,influenced,Q298521
Q9061,influenced,Q156268
Q868,influenced,Q9235
Q60887,influenced,Q312546
Q2054,influenced,Q102851
Q43216,influenced,Q7060
Q1001,influenced,Q8027
Q913,influenced,Q937697
Q9353,influenced,Q9068
Q9358,taught,Q78484
Q216072,taught,Q28959
Q9047,influenced,Q9312
Q76688,influenced,Q21062238
Q4604,influenced,Q188903
Q61078,influenced,Q130631
Q9358,influenced,Q152388
Q123382,influenced,Q729048
Q169243,influenced,Q859
Q9358,influenced,Q48301
Q1067,influenced,Q41513
Q731904,taught,Q449538
Q183372,influenced,Q33760
Q50020,influenced,Q33760
Q160640,influenced,Q205162
Q82049,influenced,Q9312
Q76548,influenced,Q123382
Q9312,influenced,Q58586
Q27645,influenced,Q5752
Q9312,influenced,Q60070
Q991,influenced,Q334147
Q48301,influenced,Q130631
Q358561,influenced,Q76326
Q859,influenced,Q7243
Q314394,influenced,Q231690
Q9546,influenced,Q9438
Q9312,influenced,Q22670
Q859,influenced,Q48301
Q101638,influenced,Q79969
Q154959,influenced,Q5749
Q9312,influenced,Q48301
Q130631,influenced,Q503017
Q157309,influenced,Q503017
Q37160,influenced,Q168004
Q316045,influenced,Q5715809
Q9364,influenced,Q193670
Q859,influenced,Q9358
Q76586,influenced,Q1394
Q9312,influenced,Q9358
Q58586,influenced,Q48301
Q913,influenced,Q189506
Q9441,influenced,Q334147
Q9061,influenced,Q83003
Q160362,taught,Q313286
Q189454,influenced,Q78484
Q9358,influenced,Q44272
Q22670,influenced,Q132524
Q48305,influenced,Q2054
Q558275,taught,Q456963
Q1035,influenced,Q9358
Q84233,influenced,Q788572
Q1381628,influenced,Q41590
Q311826,taught,Q471046
Q8739,influenced,Q184530
Q9312,influenced,Q44272
Q58586,influenced,Q9364
Q1325,influenced,Q788572
Q9047,influenced,Q9358
Q169906,influenced,Q184226
Q5683,influenced,Q9204
Q46420,influenced,Q471041
Q859,influenced,Q9438
Q38193,influenced,Q7243
Q44011,taught,Q44258
Q9358,influenced,Q184226
Q9061,influenced,Q184169
Q314189,influenced,Q9358
Q151403,influenced,Q21062238
Q5879,influenced,Q60070
Q5752,influenced,Q7243
Q47154,influenced,Q35802
Q9215,influenced,Q169906
Q38193,influenced,Q9358
Q35802,influenced,Q184169
Q168004,influenced,Q60070
Q5879,influenced,Q22670
Q913,taught,Q129772
Q8018,influenced,Q9047
Q169243,influenced,Q9358
Q1541,influenced,Q9438
Q2044035,influenced,Q9204
Q10261,influenced,Q1173486
Q9358,influenced,Q314189
Q313581,influenced,Q41590
Q9235,influenced,Q83003
Q5816,influenced,Q184169
Q35802,influenced,Q7060
Q60028,influenced,Q298521
Q160640,taught,Q373036
Q373036,influenced,Q3312923
Q5879,influenced,Q9358
Q9061,influenced,Q322922
Q127398,influenced,Q35802
Q1290,influenced,Q125249
Q212639,taught,Q44272
Q8011,influenced,Q9438
Q9391,influenced,Q298521
Q38193,influenced,Q81244
Q43216,taught,Q1234536
Q44258,taught,Q44011
Q214969,taught,Q298521
Q859,taught,Q868
Q859,influenced,Q1173486
Q9438,influenced,Q156268
Q212639,taught,Q373036
Q9061,influenced,Q152388
Q9061,influenced,Q34787
Q859,influenced,Q60025
Q48301,influenced,Q438839
Q9235,influenced,Q189564
Q9438,influenced,Q1067
Q123190,influenced,Q184980
Q35802,taught,Q9047
Q35802,influenced,Q60070
Q1035,influenced,Q131149
Q859,influenced,Q37621
Q43216,influenced,Q868
Q101638,influenced,Q41513
Q859,influenced,Q11903
Q44490,influenced,Q183167
Q36303,influenced,Q10261
Q1541,influenced,Q364975
Q215258,influenced,Q242616
Q9312,influenced,Q76688
Q9364,influenced,Q34670
Q779523,taught,Q5424032
Q178709,influenced,Q334147
Q6694,influenced,Q1035
Q81244,taught,Q404779
Q134189,influenced,Q102851
Q859,influenced,Q9235
Q9235,influenced,Q27645
Q9353,influenced,Q37160
Q37160,influenced,Q165792
Q134661,influenced,Q33760
Q9353,influenced,Q364975
Q41155,influenced,Q868
Q35802,influenced,Q9358
Q9068,influenced,Q448
Q9061,influenced,Q9364
Q134189,influenced,Q160460
Q935,influenced,Q9068
Q4295,taught,Q4313
Q9441,influenced,Q231690
