id,name
Q100258094,Rasoul Mohammad Rasoul,,+1959-00-00T00:00:00Z,+2022-07-03T00:00:00Z
Q15993464,Pierre Sadek,Lebanese artist,+1938-00-00T00:00:00Z,+2013-04-24T00:00:00Z
Q5951773,Ardeshir Rostami,,+1970-08-17T00:00:00Z,
Q536928,François Mocquard,French zoologist and herpetologist,+1834-10-27T00:00:00Z,+1917-03-19T00:00:00Z
Q395714,Agostino Scilla,"Italian painter, paleontologist, geologist, and pioneer in the study of fossils.",+1629-08-10T00:00:00Z,+1700-05-31T00:00:00Z
Q6084301,Sedat Nuri İleri,Turkish caricaturist,+1888-00-00T00:00:00Z,+1943-09-22T00:00:00Z
Q454099,Count Franz Pocci,"German artist, writer, scriptwriter, illustrator, musician and composer (1807-1876)",+1807-03-07T00:00:00Z,+1876-05-07T00:00:00Z
Q37327,Samuel Beckett,Nobel-winning Irish writer (1906–1989),+1906-04-13T00:00:00Z,+1989-12-22T00:00:00Z
Q836027,Lü Liuliang,Chinese philosopher and poet (1629-1683),+1629-01-01T00:00:00Z,+1683-01-01T00:00:00Z
Q6391156,Kenny Meadows,British artist and illustrator,+1790-11-01T00:00:00Z,+1874-08-01T00:00:00Z
Q19788556,Talita Fontoura,Brazilian botanist and ecologist,+1966-01-01T00:00:00Z,
Q11923682,Gaietà Cornet i Palau,"Spanish artist, 1878-1945",+1878-08-07T00:00:00Z,+1945-03-31T00:00:00Z
Q707787,Robert Filmer,English writer,+1588-01-01T00:00:00Z,+1653-05-26T00:00:00Z
Q95367755,Luboš Drastil,,+1957-07-20T00:00:00Z,
Q62095948,Juan Sanz del Poyo,,+1913-00-00T00:00:00Z,+1976-00-00T00:00:00Z
Q94824276,Wolfgang Wagner,German caricaturist,+1884-03-25T00:00:00Z,+1931-09-26T00:00:00Z
Q87444,Wilhelm Gass,German theologian,+1813-11-28T00:00:00Z,+1889-02-21T00:00:00Z
Q1743912,Kittihawk,,+1972-01-01T00:00:00Z,
Q482193,Amédée de Noé,caricaturist (1819-1879),+1818-01-26T00:00:00Z,+1879-09-06T00:00:00Z
Q11684636,Javier de Isusi,Spanish comics artist,+1972-00-00T00:00:00Z,
Q97151,Lazarus Bendavid,Prussian  mathematician and philosopher (1762-1832),+1762-10-18T00:00:00Z,+1832-03-28T00:00:00Z
Q1512329,Molefi Kete Asante,African-American historian and philosopher; theorist of Afrocentricity,+1942-08-14T00:00:00Z,
Q48852107,Marian Kościałkowski,,+1914-07-01T00:00:00Z,+1977-07-14T00:00:00Z
Q114333,David Selbourne,British philosopher,+1937-06-04T00:00:00Z,
Q112470231,Richard Willson,,+1939-00-00T00:00:00Z,+2011-00-00T00:00:00Z
Q60718124,Jaume Passarell i Ribó,Catalan caricaturist,+1889-11-02T00:00:00Z,+1975-02-05T00:00:00Z
Q2860081,Archibald Armstrong,Scottish court jester,+1650-00-00T00:00:00Z,+1672-03-01T00:00:00Z
Q944538,Gabino Barreda,Mexican politician (1818-1881),+1818-02-19T00:00:00Z,+1881-03-20T00:00:00Z
Q104033780,Lucien Goubert,,+1887-06-27T00:00:00Z,+1964-01-10T00:00:00Z
Q1037615,Karl Emil Diezel,German non-fiction writer (1779-1860),+1779-12-08T00:00:00Z,+1860-08-23T00:00:00Z
Q105073135,Charles Merlin,French Jesuit (1678-1747),+1678-09-08T00:00:00Z,+1747-11-22T00:00:00Z
Q6289203,Josh Neufeld,American cartoonist specializing in nonfiction,+1967-08-09T00:00:00Z,
Q6512,Søren Kierkegaard,"Danish theologian, philosopher, poet and social critic (1813–1855)",+1813-05-05T00:00:00Z,+1855-11-11T00:00:00Z
Q104432340,A. Scheuten,"taxonomist, fl. 1857",,
Q93415834,Joan Izquierdo i Capdevila,,+1752-00-00T00:00:00Z,+1808-00-00T00:00:00Z
Q94889059,Jan Duch,,+1898-00-00T00:00:00Z,+1907-00-00T00:00:00Z
Q4096619,Lillian Louisa Britten,botanist (1886-1952),+1886-01-01T00:00:00Z,+1952-01-01T00:00:00Z
Q3101971,"George Townshend, 1st Marquess Townshend",British Field Marshal and Marquess (1724-1807),+1724-02-28T00:00:00Z,+1807-09-14T00:00:00Z
Q8177249,Ursula Katharine Duncan,British botanist (1910-1985),+1910-09-17T00:00:00Z,+1985-01-27T00:00:00Z
Q80842957,Issam Kamal Khalifa,"Academic, historian, researcher and trade unionist from Lebanon",+1948-01-18T00:00:00Z,
Q509416,Dolpopa Sherab Gyeltsen,Nepalese philosopher,+1292-01-01T00:00:00Z,+1361-01-01T00:00:00Z
Q56261109,Amélia de Rezende Martins,Brazilian intellectual and activist,,
Q168004,Friedrich Heinrich Jacobi,German philosopher,+1743-01-25T00:00:00Z,+1819-03-10T00:00:00Z
Q116031086,Incubator-tan,Fan Wiki-sisters and gijinka of Wikimedia Incubator,,
Q23060694,Reto Gloor,(1962-2019),+1962-11-17T00:00:00Z,+2019-06-07T00:00:00Z
Q90670270,Taskeen Manerwal,Pakistani Pashto poet,+1950-00-00T00:00:00Z,+2022-01-10T00:00:00Z
Q192348,Benedetto Croce,Italian philosopher (1866-1952),+1866-02-25T00:00:00Z,+1952-11-20T00:00:00Z
Q15452823,Tekle Hawariat Tekle Mariyam,"Ethiopian intellectual, politician, civil servant, diplomat, and writer",+1884-06-00T00:00:00Z,+1977-01-01T00:00:00Z
Q1075165,Chlodwig Poth,German caricaturist and writer (1930-2004),+1930-04-04T00:00:00Z,+2004-07-08T00:00:00Z
Q312579,Iain Banks,Scottish writer (1954–2013),+1954-02-16T00:00:00Z,+2013-06-09T00:00:00Z
Q5943830,Davood Shahidi,Iranian artist,+1951-03-01T00:00:00Z,
Q1699831,John Douglas Lynch,U.S. university teacher and herpetologist,+1942-07-30T00:00:00Z,
Q93503,Friedrich Adler,Austrian politician (1879-1960),+1879-07-09T00:00:00Z,+1960-01-02T00:00:00Z
Q5904457,Hugo Díaz Jiménez,Costa Rican painter (1930-2001),+1930-06-18T00:00:00Z,+2001-06-17T00:00:00Z
Q15973558,Behem,French caricaturist and comics writer,+1951-11-16T00:00:00Z,
Q896210,Ferdinand von Řezníček,"Austrian caricaturist, painter and illustrator (1868-1909)",+1868-06-16T00:00:00Z,+1909-05-11T00:00:00Z
Q97143398,Lewis Marks,"British caricaturist, active between 1814 and 1832",,+1855-01-01T00:00:00Z
Q21535472,John Henry Chinner,(1865-1933) cartoonist and insurance manager,+1865-06-30T00:00:00Z,+1933-01-01T00:00:00Z
Q61044,Albertus de Saxonia,German theologian and philosopher (c.1320-1390),+1316-00-00T00:00:00Z,+1390-07-08T00:00:00Z
Q11890905,Risto Mäkinen,"Finnish graphic artist, illustrator",+1918-11-12T00:00:00Z,+1972-05-07T00:00:00Z
Q6891803,Amin Aghai,Iranian cartoonist and illustrator,+1982-04-24T00:00:00Z,
Q108699517,Marcel Mars-Trick,French artist and caricaturist,+1900-00-00T00:00:00Z,+1941-05-04T00:00:00Z
Q101936,Ferdinand Röse,German writer (1815-1859),+1815-01-01T00:00:00Z,+1859-01-01T00:00:00Z
Q16189675,Antoni Comín,"Catalan philosopher, politician and professor",+1971-03-07T00:00:00Z,
Q317055,Marcus Cornelius Fronto,2nd century Roman rhetorician and advocate,+0100-00-00T00:00:00Z,+0160-00-00T00:00:00Z
Q62599572,Diana Denny Kalmus,American illustrator and caricaturist,+1923-00-00T00:00:00Z,+2015-01-28T00:00:00Z
Q224904,Ed Arno,Cartoonist/contributing to The New Yorker from 1969 to 2001,+1916-07-17T00:00:00Z,+2008-05-27T00:00:00Z
Q20851517,Karol Krefft,,+1907-06-15T00:00:00Z,+1995-10-28T00:00:00Z
Q12735556,Mihail Neamțu,"Romanian writer, philosopher, theologian, politician",+1978-04-16T00:00:00Z,
Q19758988,Alphonse Deloos,Luxembourgish caricaturist (1925-2015),+1925-00-00T00:00:00Z,+2015-01-24T00:00:00Z
Q83041,Anaxagoras,5th-century BC Greek philosopher,-0500-00-00T00:00:00Z,-0428-00-00T00:00:00Z
Q1322680,Tony Rafty,Australian cartoonist,+1915-10-12T00:00:00Z,+2015-10-09T00:00:00Z
Q112498697,Lorenzo Toma,,+1994-00-00T00:00:00Z,
Q708521,Caran d'Ache,cartoonist (1858-1909),+1858-11-06T00:00:00Z,+1909-02-25T00:00:00Z
Q75284,Karl Arnold,"painter, caricaturist and comics maker from Germany (1883-1953)",+1883-04-01T00:00:00Z,+1953-11-29T00:00:00Z
Q454349,Amandus Polanus,German Reformed theologian,+1561-12-16T00:00:00Z,+1610-07-17T00:00:00Z
Q50376918,Lembit Rull,Estonian painter and caricaturist,+1904-07-15T00:00:00Z,+1987-03-06T00:00:00Z
Q498971,Anders Krag,Danish mathematician,+1553-01-01T00:00:00Z,+1600-06-08T00:00:00Z
Q461640,Isaac ben Joseph ibn Pulgar,14th-century Spanish philosopher and poet,+1201-00-00T00:00:00Z,+1500-01-01T00:00:00Z
Q96761808,Josef Blecha,,+1952-03-19T00:00:00Z,
Q4977687,Martina von Schwerin,Swedish noble,+1789-01-03T00:00:00Z,+1875-11-18T00:00:00Z
Q176935,Mahmud Bayazidi,Kurdish polymath,+1797-01-01T00:00:00Z,+1859-01-01T00:00:00Z
Q17024750,Gouri Dharmapal,Indian poet and Sanskrit scholar,+1927-00-00T00:00:00Z,
Q95678,Johann Christoph Wichmannshausen,German philosopher,+1663-01-01T00:00:00Z,+1727-01-01T00:00:00Z
Q5051890,Cater Rand,British surveyor (1749-1825),+1749-12-09T00:00:00Z,+1825-12-21T00:00:00Z
Q2847848,André Girard,French painter and founder of the CARTE network (1901-1968),+1901-05-25T00:00:00Z,+1968-09-02T00:00:00Z
Q26737,Józef Gosławski,Polish sculptor and medallic artist,+1908-04-24T00:00:00Z,+1963-01-23T00:00:00Z
Q52673135,Oswald Meichsner,,+1921-08-09T00:00:00Z,+1985-04-24T00:00:00Z
Q112474161,Matteo Vattani,,+1985-00-00T00:00:00Z,
Q71316,Jacob Bidermann,German Jesuit and playwright,+1578-01-01T00:00:00Z,+1639-08-20T00:00:00Z
Q22977921,Josef Loukota,Czech painter (1879-1967),+1879-06-28T00:00:00Z,+1967-07-23T00:00:00Z
Q380652,Giles of Viterbo,"Italian Augustinian friar, bishop and cardinal",+1469-00-00T00:00:00Z,+1532-11-12T00:00:00Z
Q6053861,Kemal Aratan,,+1965-01-01T00:00:00Z,
Q20644222,Babis Papadimitriou,Greek journalist,+1954-01-01T00:00:00Z,
Q24053887,Abdul Hamid AbuSulayman,Islamic scholar,+1936-00-00T00:00:00Z,+2021-08-18T00:00:00Z
Q20048076,"Hindemburg Melão, Jr.",Chess player from Brazil,+1972-01-15T00:00:00Z,
Q92340440,Enrique Terán,Ecuadorian writer and musician,+1887-00-00T00:00:00Z,+1941-00-00T00:00:00Z
Q606558,Antonius Aemilius,German author and historian (1589-1660),+1589-12-20T00:00:00Z,+1660-11-12T00:00:00Z
Q112439399,Petr Herink,,+1949-00-00T00:00:00Z,
Q95072304,Pavel František Malý,,+1882-06-29T00:00:00Z,+1952-01-27T00:00:00Z
Q3381012,Philippe de Tarrazi,"Lebanese polymath, Philanthropist, writer, poet, scholar, historian of the Arab Press, dignitary of the Syriac Catholic community and founder of the Great Library of Beirut",+1865-05-28T00:00:00Z,+1956-08-07T00:00:00Z
Q1687291,Jens Malte Fischer,German cultural studies scholar,+1943-12-26T00:00:00Z,
Q93082,Charles Leonard Hamblin,Australian philosopher and computer pioneer,+1922-01-01T00:00:00Z,+1985-05-14T00:00:00Z
Q441537,Frances Wright,American activist,+1795-09-06T00:00:00Z,+1852-12-13T00:00:00Z
Q17280310,Celso Hermínio,,+1871-03-02T00:00:00Z,+1904-03-08T00:00:00Z
Q94897929,Eckart Munz,,+1921-02-28T00:00:00Z,+1988-01-26T00:00:00Z
Q2521796,Paul Jamin,Belgian comic book writer,+1911-08-11T00:00:00Z,+1995-02-19T00:00:00Z
Q12698030,Moks,Malaysian cartoonist,,
Q28149898,Victor Lenepveu,,+1852-07-21T00:00:00Z,+1900-00-00T00:00:00Z
Q12249592,Hadi al-Alawi,"Iraqi philosopher, historian and linguist",+1933-00-00T00:00:00Z,+1998-09-27T00:00:00Z
Q18819142,Olga Helena Borsini,Argentinian botanist (1916-1981),+1916-01-01T00:00:00Z,+1981-01-01T00:00:00Z
Q110928799,Éric Salla,,+1974-00-00T00:00:00Z,
Q21537863,Frederick Francis Booty,(1879-1914) caricaturist,+1879-03-15T00:00:00Z,+1914-01-01T00:00:00Z
Q6059257,Pam-Chito,,+1943-12-06T00:00:00Z,+2016-03-21T00:00:00Z
Q2586726,Julián Baldomero Acuña Galé,"Cuban botanist, taxonomist & phytopathologist (1900-1973)",+1900-02-27T00:00:00Z,+1973-07-24T00:00:00Z
Q50413960,Bruno Voigt,,+1912-09-20T00:00:00Z,+1988-10-14T00:00:00Z
Q95756975,T. W. Woods,,,
Q15686434,Andreĭ Rossomakhin,Russian writer,+1973-04-02T00:00:00Z,
Q381452,Egil A. Wyller,norwegian philosopher (1925-2021),+1925-01-01T00:00:00Z,+2021-03-06T00:00:00Z
Q45258,Alfred Kolleritsch,Austrian writer and poet,+1931-02-16T00:00:00Z,+2020-05-29T00:00:00Z
Q372883,Tad Schmaltz,American philosopher,+1960-01-01T00:00:00Z,
Q1901352,Markus,"German artist, caricaturist and cartoonist",+1928-05-16T00:00:00Z,
Q95152350,Vladimír Fridrich,,+1926-06-29T00:00:00Z,+2003-01-01T00:00:00Z
Q731699,Eiji Yoshikawa,scholar for Japanese literature,+1949-08-01T00:00:00Z,
Q713642,J. L. Mackie,Australian philosopher (1917-1981),+1917-08-25T00:00:00Z,+1981-12-12T00:00:00Z
Q1622359,Abraham Van Helsing,fictional character created by Bram Stoker,+1900-00-00T00:00:00Z,
Q3189095,Julian Le Grand,British academic,+1945-05-29T00:00:00Z,
Q7388870,Mokz,caricaturist from Malaysia,,
Q237095,Madeleine de Scudéry,French writer (1607–1701),+1607-11-15T00:00:00Z,+1701-06-02T00:00:00Z
Q611233,Jean-Baptiste Robinet,French scientist (1735-1820),+1735-06-23T00:00:00Z,+1820-03-24T00:00:00Z
Q16492108,Antônio Nássara,"Brazilian composer, caricaturist and designer",+1910-11-11T00:00:00Z,+1996-12-11T00:00:00Z
Q1356390,William Graham Sumner,"American academic, sociologist (1840-1910)",+1840-10-30T00:00:00Z,+1910-04-12T00:00:00Z
Q76353,Carl Ludwig Willdenow,German botanist (1765-1812),+1765-08-22T00:00:00Z,+1812-07-10T00:00:00Z
Q56825509,Yeshaq Tewelde Medhin,"Eritrean intellectual, teacher, and educator",+1889-00-00T00:00:00Z,+1978-00-00T00:00:00Z
Q909884,E. T. Whittaker,"British mathematician who contributed widely to applied mathematics, mathematical physics, the theory of special functions, and the history of physics. (*1873 – †1956)",+1873-10-24T00:00:00Z,+1956-03-24T00:00:00Z
Q1423151,A. C. Ewing,British philosopher (1899-1973),+1899-05-11T00:00:00Z,+1973-05-14T00:00:00Z
Q73014,Erhard Weigel,"Mathematician, astronomer and philosopher",+1625-12-16T00:00:00Z,+1699-03-21T00:00:00Z
Q71029,Hermann Weyl,German mathematician,+1885-11-09T00:00:00Z,+1955-12-08T00:00:00Z
Q12808257,Abdulgafur Acatay,Turkish entomologist,+1903-00-00T00:00:00Z,+1993-00-00T00:00:00Z
Q9152616,Andrzej Krauze,British-Polish writer and artist,+1947-03-07T00:00:00Z,
Q18809,Anatoly Lunacharsky,Russian Marxist revolutionary (1875-1933),+1875-11-11T00:00:00Z,+1933-12-26T00:00:00Z
