Q951297,Harvey Friedman,American mathematician and logician,+1948-09-23T00:00:00Z,,https://en.wikipedia.org/wiki/Harvey_Friedman
Q37327,Samuel Beckett,Nobel-winning Irish writer (1906–1989),+1906-04-13T00:00:00Z,+1989-12-22T00:00:00Z,https://en.wikipedia.org/wiki/Samuel_Beckett
Q715169,George Buchanan,Scottish historian and humanist scholar; (1506-1582),+1506-02-01T00:00:00Z,+1582-09-28T00:00:00Z,https://en.wikipedia.org/wiki/George_Buchanan
Q217771,George Gurdjieff,"Philosopher, mystic, and writer (c. 1866–1877 – 1949)",+1866-01-13T00:00:00Z,+1949-10-29T00:00:00Z,https://en.wikipedia.org/wiki/George_Gurdjieff
Q676267,Henry Bate of Malines,Flemish philosopher,+1246-03-24T00:00:00Z,+1310-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Henry_Bate_of_Mechelen
Q434266,Petr Uspensky,Russian esotericist,+1878-03-04T00:00:00Z,+1947-10-02T00:00:00Z,https://en.wikipedia.org/wiki/P._D._Ouspensky
Q368519,George MacDonald,"Scottish author, poet and Christian minister",+1824-12-10T00:00:00Z,+1905-09-18T00:00:00Z,https://en.wikipedia.org/wiki/George_MacDonald
Q60028,Gottlob Frege,"German philosopher, logician, and mathematician (1848–1925)",+1848-11-08T00:00:00Z,+1925-07-26T00:00:00Z,https://en.wikipedia.org/wiki/Gottlob_Frege
Q188883,Clement of Alexandria,Christian theologian (c.150 – c.215),+0150-00-00T00:00:00Z,+0215-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Clement_of_Alexandria
Q219368,Judith Butler,American philosopher and gender studies philosopher (born 1956),+1956-02-24T00:00:00Z,,https://en.wikipedia.org/wiki/Judith_Butler
Q1541,Cicero,"Roman statesman, lawyer, orator, and philosopher (106–43 BC)",-0106-01-03T00:00:00Z,-0043-12-07T00:00:00Z,https://en.wikipedia.org/wiki/Cicero
Q4313,Alain de Lille,French theologian and poet,+1117-00-00T00:00:00Z,+1202-12-29T00:00:00Z,https://en.wikipedia.org/wiki/Alain_de_Lille
Q216072,Xunzi,Chinese Confucian philosopher (c.310–after 238 BCE),-0313-00-00T00:00:00Z,-0238-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Xunzi_(philosopher)
Q471046,Rida Muhammad Rashid,Syrian Muslim scholar and reformer (1865-1935),+1865-09-23T00:00:00Z,+1935-08-22T00:00:00Z,https://en.wikipedia.org/wiki/Rashid_Rida
Q168004,Friedrich Heinrich Jacobi,German philosopher,+1743-01-25T00:00:00Z,+1819-03-10T00:00:00Z,https://en.wikipedia.org/wiki/Friedrich_Heinrich_Jacobi
Q18999,Junius Rusticus,Stoic philosopher (100-170),+0100-01-01T00:00:00Z,+0170-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Junius_Rusticus
Q47434,Edmond Halley,"English astronomer, geophysicist, mathematician, meteorologist, and physicist",+1656-10-29T00:00:00Z,+1742-01-14T00:00:00Z,https://en.wikipedia.org/wiki/Edmond_Halley
Q714369,Dai Zhen,Chinese scholar,+1724-01-19T00:00:00Z,+1777-07-01T00:00:00Z,https://en.wikipedia.org/wiki/Dai_Zhen
Q11917236,Diophantus,ancient Greek rhetorician,,,https://en.wikipedia.org/wiki/Diophantus_the_Arab
Q193670,Frantz Fanon,French West Indian psychiatrist and philosopher (1925–1961),+1925-07-20T00:00:00Z,+1961-12-06T00:00:00Z,https://en.wikipedia.org/wiki/Frantz_Fanon
Q129772,Xenophon,"Greek philosopher, historian, soldier (c. 430–355/354 BC)",-0430-01-01T00:00:00Z,-0354-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Xenophon
Q191026,Francis Galton,"English polymath: geographer, statistician, eugenicist (*1822 – †1911)",+1822-02-16T00:00:00Z,+1911-01-17T00:00:00Z,https://en.wikipedia.org/wiki/Francis_Galton
Q2897678,Bernard Charbonneau,French philosopher,+1910-11-28T00:00:00Z,+1996-04-28T00:00:00Z,https://en.wikipedia.org/wiki/Bernard_Charbonneau
Q6197,Horace,Roman lyric poet,-0065-12-08T00:00:00Z,-0008-11-27T00:00:00Z,https://en.wikipedia.org/wiki/Horace
Q19074,Samuel P. Huntington,American political scientist (1927-2008),+1927-04-18T00:00:00Z,+2008-12-24T00:00:00Z,https://en.wikipedia.org/wiki/Samuel_P._Huntington
Q169906,Jacques Lacan,French psychoanalyst and writer (1901–1981),+1901-04-13T00:00:00Z,+1981-09-09T00:00:00Z,https://en.wikipedia.org/wiki/Jacques_Lacan
Q1173486,David Anhaght,Armenian philosopher/5th century,+0600-01-01T00:00:00Z,+0600-01-01T00:00:00Z,https://en.wikipedia.org/wiki/David_the_Invincible
Q657941,Albinus,ancient Greek philosopher,+0100-00-00T00:00:00Z,+0200-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Albinus_(philosopher)
Q2353373,Thiruvalluvar,Tamil poet and philosopher,,,https://en.wikipedia.org/wiki/Thiruvalluvar
Q193871,Marshall McLuhan,"Canadian educator, philosopher, and scholar",+1911-07-21T00:00:00Z,+1980-12-31T00:00:00Z,https://en.wikipedia.org/wiki/Marshall_McLuhan
Q9235,Georg Wilhelm Friedrich Hegel,German philosopher and theologian (1770–1831),+1770-08-27T00:00:00Z,+1831-11-14T00:00:00Z,https://en.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel
Q48305,Euripides,Classical Athenian playwright,-0480-00-00T00:00:00Z,-0406-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Euripides
